c_1 c_2 c_3 dis_1 dis_2 ang_1 e_dir e_har e_nor e_int delta_har delta_nor delta_int e_1 e_2 e_3 e_dis_1 e_dis_2 e_ang_1
-0.7999964771157665 -0.5999973576977444 -0.7999963140623553 0.49404 1.06993 157.9258 23.1115507372 8.7424489023 12.820919607895647 20.236812789374458 14.3691018349 10.2906311293 2.8747379478 0.7552654770077465 4.914772886641961 7.150881244245938 18.83871637919021 0.25490444317252453 1.1431919670117252
-0.7999964735821473 -0.5999973421913198 -0.6999967773534118 0.5271 1.03243 156.18597 17.7332500201 7.5417539502 10.737980280048887 16.321181186051813 10.1914960699 6.9952697401 1.4120688340 0.7552654708611285 4.914772550486695 5.0679422587010645 15.100257312054463 0.12124932873311225 1.0996745452642376
-0.7999964738125227 -0.5999973424144487 -0.5999972249333894 0.56089 0.99503 154.75791 13.4545087571 6.5011516101 9.150946682393432 12.94353571984845 6.9533571470 4.3035620747 0.5109730373 0.7552654712618592 4.914772555323783 3.4809086558077893 11.849069224833482 0.031850675586487694 1.0626158194284796
-0.7999964704133908 -0.5999973400344326 -0.49999770114285985 0.59529 0.95774 153.60454 10.1073040168 5.6206421291 7.952668762140242 10.111517414956761 4.4866618877 2.1546352547 -0.0042133982 0.7552654653491775 4.914772503728722 2.2826307930623426 9.079581675396334 3.373922510643361e-05 1.0319020003353225
-0.7999964831158108 -0.5999973361571098 -0.39999815192177746 0.6302 0.92057 152.6967 7.5508841296 4.9002250773 7.063623981893709 7.822133687801664 2.6506590523 0.4872601477 -0.2712495582 0.7552654874446326 4.914772419674373 1.3935860747747033 6.772520588056767 0.04232912027723101 1.0072839794676658
-0.7999964705719634 -0.5999973503820043 -0.29999861242051085 0.66554 0.88354 152.01206 5.6732066599 4.3399008324 6.425563244780093 6.065248253352613 1.3333058275 -0.7523565849 -0.3920415935 0.7552654656250095 4.914772728048044 0.7555250511070399 4.8974794570767415 0.1792853269111031 0.9884834693647689
-0.7999964708023389 -0.5999973506051326 -0.19999906000048803 0.70124 0.84666 151.53417 4.3899976024 3.9396690672 5.997067616428412 4.827310521235319 0.4503285352 -1.6070700140 -0.4373129188 0.7552654660257404 4.914772732885121 0.327029417517551 3.4156098441303415 0.4364512658640541 0.9752494112409226
-0.7999964674032067 -0.5999973482251165 -0.09999953620995883 0.73725 0.80996 151.25174 3.6429313812 3.6995299778 5.7505047951850035 4.0933786901780405 -0.0565985966 -2.1075734140 -0.4504473090 0.7552654601130582 4.914772681290058 0.08046665378188671 2.2808897541077187 0.8451013051420646 0.9673876309282573
-0.799996480105627 -0.599997344347794 1.3011123803363667e-08 0.77353 0.77346 151.15821 3.3978287348 3.6194834805 5.670038079444195 3.850316052232431 -0.2216547457 -2.2722093446 -0.4524873174 0.7552654822085135 4.914772597235713 -3.1120726937261563e-14 1.4420872876475272 1.4434510628774395 0.9647777017074642
-0.7999964800341097 -0.5999973544721837 0.09999954931353908 0.81004 0.73719 151.25141 3.6434232678 3.699529713 5.750498440407419 4.093908000708621 -0.0561064452 -2.1070751726 -0.4504847329 0.7552654820841116 4.914772816716799 0.0804601416065084 0.8440164604709481 2.2825131123306455 0.9673784279070274
