c_1 c_2 c_3 dis_1 dis_2 ang_1 e_dir e_har e_nor e_int delta_har delta_nor delta_int e_1 e_2 e_3 e_dis_1 e_dis_2 e_ang_1
0.6218995996462284 -0.9842164416640348 0.2573617149770059 0.7 0.7 60.00009 10.0213558229 8.417194325 21.74363327778815 8.573725576612162 1.6041614979 -11.7222774549 1.4476302463 0.5901967977257385 20.604487637807807 0.5489488422546036 3.4607794544 3.4607794544 1.652166667812162
0.6554887233060845 -0.9518805168748827 0.22334108249790258 0.7 0.73684 59.99992 8.7309687691 7.8707346977 19.604789498815542 7.404959951511357 0.8602340714 -10.8738207297 1.3260088176 0.6574658189294195 18.537456720256085 0.40986695963003705 3.4607794544 2.2919993815694237 1.6521811155419333
0.6890811745807968 -0.9195320876800491 0.1893079381327986 0.7 0.77368 60.00013 7.7520760019 7.3615966992 17.659012633885467 6.552110690291392 0.3904793027 -9.9069366320 1.1999653116 0.7283245669476366 16.638380793302677 0.29230727363515274 3.4607794544 1.4391679675330689 1.6521632683583227
0.7226860981857309 -0.8871877589897406 0.15527799261886868 0.7 0.81053 59.99971 7.0183886178 6.8901010861 15.896850929351478 5.9503700973070845 0.1282875317 -8.8784623116 1.0680185205 0.8027473416519292 14.898679068372834 0.19542451932671429 3.4607794544 0.8373916800556536 1.6521989628514304
0.756275221845587 -0.8548518342005885 0.12125736013976521 0.7 0.84737 59.99957 6.4782863507 6.4562484647 14.308082792278755 5.543158372424498 0.0220378860 -7.8297964416 0.9351279783 0.8806235115103389 13.308873724171374 0.11858555659704093 3.4607794544 0.43016805689679966 1.6522108611276987
0.7898676731202992 -0.8225034050057548 0.08722421577466113 0.7 0.88421 59.99977 6.0909346819 6.059757264 12.881424819229695 5.2887945284169735 0.0311774179 -6.7904901373 0.8021401535 0.961947991652441 11.858343882103966 0.06113294547328744 3.4607794544 0.1758212104096735 1.6521938636073004
0.8234567967801553 -0.7901674802166029 0.05320358329555783 0.7 0.92105 59.99965 5.8248086303 5.7009732877 11.60791473961521 5.15420869055599 0.1238353426 -5.7831061093 0.6705999397 1.0466571933580426 10.538594165386563 0.022663380870603704 3.4607794544 0.041225174050153 1.652204062105837
0.8570492480548675 -0.757819051021769 0.019170438930453615 0.7 0.9579 59.99983 5.6545843003 5.3795772594 10.476634369491595 5.11299306846432 0.2750070409 -4.8220500692 0.5415912318 1.1347204173636654 9.338982120155263 0.00293183197266673 3.4607794544 2.4849690874529547e-05 1.6521887643734459
0.8906416993295798 -0.7254706218269354 -0.014862705434650375 0.7 0.99474 60.0 5.5604018566 5.0957354501 9.478261305758497 5.144315946351641 0.4646664065 -3.9178594492 0.4160859102 1.2260819517977972 8.250417809830859 0.0017615441298423858 3.4607794544 0.03136217535164132 1.6521743166
0.9242308229894357 -0.6931346970377833 -0.04888333791375393 0.7 1.03158 59.99988 5.5263309536 4.8495610722 8.603453452170102 5.231647071276518 0.6767698814 -3.0771224986 0.2946838823 1.3206847779197242 7.263644274809787 0.019124399440589693 3.4607794544 0.11868310185676703 1.6521845150197514
0.9578232742641478 -0.6607862678429497 -0.08291648227885784 0.7 1.06842 60.00003 5.5394938466 4.6408144353 7.842854430636913 5.361771719072023 0.8986794113 -2.3033605840 0.1777221275 1.4185001567535866 6.369131747887374 0.05522252599595214 3.4607794544 0.24882049767053857 1.6521717670014848
0.9914123979240039 -0.6284503430537978 -0.11693711475796126 0.7 1.10526 59.99992 5.5896179108 4.4697087026 7.1903422111952535 5.524128335560009 1.1199092082 -1.6007243004 0.0654895752 1.51946123245474 5.560641844023221 0.11023913471729262 3.4607794544 0.41116776561807616 1.6521811155419333
1.025020649143794 -0.5960935099578075 -0.15097957215789165 0.7 1.14212 59.99988 5.6683875806 4.3360486463 6.638910959599792 5.710291022238848 1.3323389343 -0.9705233790 -0.0419034416 1.6235902026173004 4.8306745609583395 0.18464619602415142 3.4607794544 0.5973270528190966 1.6521845150197514
1.0586097728036503 -0.5637575851686556 -0.185000204636995 0.7 1.17895 59.99977 5.7689578564 4.2400222274 6.183480557976454 5.913197631236583 1.5289356290 -0.4145227016 -0.1442397748 1.730721045221265 4.173803215012141 0.2789562977430481 3.4607794544 0.8002243132292829 1.6521938636073004
1.0922022240783629 -0.5314091559738217 -0.2190333490020993 0.7 1.2158 59.99991 5.8858856474 4.1814766074 5.818614163499067 6.12760082201049 1.7044090400 0.0672714839 -0.2417151746 1.8408757294913995 3.5838516503193993 0.39388678368826796 3.4607794544 1.0146394021995304 1.65218196541096
1.1257913477382187 -0.49907323118466984 -0.25305398148120256 0.7 1.25263 59.99982 6.0146823075 4.1605188337 5.540171167006533 6.348878670637067 1.8541634738 0.4745111405 -0.3341963631 1.9539849549590689 3.055966914244194 0.5302192978032698 3.4607794544 1.2359096019920253 1.6521896142450414
1.1593804713980749 -0.4667373063955177 -0.28707461396030615 0.7 1.28947 59.99972 6.1517155358 4.1770887521 5.34389957486556 6.573620513988898 1.9746267837 0.8078159609 -0.4219049782 2.0700120118675285 2.5848271587389413 0.6890604042590894 3.4607794544 1.4606429466122028 1.6521981129766947
1.192976250287643 -0.43437637279500224 -0.3211202702114109 0.7 1.32632 60.00007 6.2940608456 4.2311721575 5.226459581088251 6.798921007205146 2.0628886881 1.0676012645 -0.5048601616 2.1889332663565892 2.1658769409414753 0.8716493737901857 3.4607794544 1.6859731852643507 1.6521683675407945
