dis_1 dis_2 ang_1 e_har
0.91053 0.91613 114.63184 0.1814520904
0.9521 0.95568 118.33196 0.1387844866
0.98532 1.03468 102.06516 0.1631861022
0.91621 0.96882 105.93118 0.0508878775
0.97425 1.04103 102.07101 0.1778974331
1.0679 1.24708 109.42219 2.5220017888
0.96496 0.99875 102.23758 0.041933145
0.95986 0.94296 131.10578 0.7049776162
0.92665 0.9671 106.19098 0.0301150177
0.98054 0.98499 102.84415 0.0292694508
1.05374 0.8539 116.53849 0.7205467325
0.96873 0.97332 112.64666 0.053246846
0.93996 0.93842 105.98236 0.0205246088
1.0558 0.85722 131.04985 1.5330737047
0.88884 0.93942 106.43836 0.1368715928
0.94977 1.05595 104.55429 0.2525384852
0.9545 0.9697 101.38249 0.0084360355
0.96169 0.9614 105.25698 0.0010661644
0.95588 1.0403 91.36952 0.1886719634
0.97728 0.964 84.46657 0.35497221
1.20494 0.82378 105.20776 2.1049262788
0.97728 0.99369 96.11018 0.0623333907
0.98474 0.94906 105.10403 0.021171352
0.97688 0.98404 101.31559 0.0260995493
0.97753 0.95404 106.56998 0.0141928824
0.96634 0.96424 84.37035 0.3569394418
0.79873 0.87133 113.40242 0.9091113689
1.03082 0.81548 132.33869 1.8925304597
1.02481 1.00157 120.98783 0.3425181959
0.85603 0.88071 93.30259 0.6334392009
0.93944 0.96577 99.91501 0.0255297685
0.95239 0.96926 103.12067 0.0047705525
0.89215 1.04395 120.91159 0.3625949847
0.84548 1.06686 128.51893 0.7250876321
1.03559 1.24877 80.8218 1.4303979055
0.98072 0.98011 110.58279 0.0524405857
0.97544 0.92879 131.6687 0.8270117884
0.98014 0.92585 102.19207 0.0458851714
0.81274 0.85828 97.85742 0.9165694428
1.15563 0.94808 79.71868 1.5856192491
0.80822 0.85029 104.1062 0.9036271029
0.94009 0.93924 92.07607 0.1679433747
0.97845 0.94236 104.13686 0.0175329696
0.95526 0.97617 106.97851 0.0131423874
0.9237 0.91739 115.49096 0.1690300005
1.14303 0.89075 98.32417 1.0481558401
0.95072 0.9888 102.40492 0.0261723867
0.97114 0.96779 112.46466 0.0510013481
1.058 1.06043 83.87499 0.5313993352
1.05586 0.80397 89.92804 1.2395791307
0.94802 1.04672 98.02019 0.1968957546
0.89734 0.9858 100.21271 0.1329259617
0.86989 0.87626 86.17889 0.9005331595
0.9739 0.95246 103.27461 0.0076739339
0.96828 0.96579 102.36448 0.0051406667
0.85888 1.15976 130.84707 1.0497861306
1.20567 0.90292 81.59319 2.2657029925
0.93698 0.93398 114.50129 0.100529024
1.02691 1.02667 101.50619 0.2317058987
0.97465 0.95978 103.98947 0.0065438026
0.98579 0.99148 108.61419 0.0624257103
0.96773 0.98059 83.45806 0.3599092704
0.80097 0.88281 93.38662 1.0128008901
0.97556 0.94384 97.38323 0.052320383
0.98498 0.97448 101.39829 0.0258188528
0.96286 0.99348 98.83914 0.0402594756
0.94586 0.94711 106.22445 0.0092827122
1.08171 1.01922 73.54898 1.1981874112
1.02911 1.1265 104.82932 0.8708436692
0.92257 0.94374 83.26272 0.533888112
0.93527 0.98764 116.13126 0.1075755234
1.0395 0.96207 96.16408 0.2006147017
0.9794 0.98375 105.74555 0.0301506734
0.98349 0.97314 93.57726 0.0878579899
0.93881 0.94225 103.38752 0.0193531369
0.9426 0.98798 117.2289 0.1180311401
0.96673 0.96736 102.44783 0.0048646146
0.94098 0.91782 108.43139 0.0610273848
1.16647 0.94845 111.69063 1.2242753537
1.06253 0.92201 87.74943 0.5895939691
0.92414 0.9173 115.46122 0.1680254004
