dis_1 dis_2 ang_1 delta_int
0.99017 0.97234 119.05275 0.0159288189
1.12516 1.16675 117.02161 0.0696384205
0.96252 1.04381 96.89002 -0.0199606389
0.77496 0.89049 99.22032 0.0372215898
0.91053 0.91613 114.63184 -0.0265819989
0.9521 0.95568 118.33196 -0.0035195132
0.98532 1.03468 102.06516 -0.0075499575
0.91621 0.96882 105.93118 -0.0011608772
0.97425 1.04103 102.07101 -0.0068845994
1.0679 1.24708 109.42219 0.0212332321
0.96496 0.99875 102.23758 -0.0028928987
0.95986 0.94296 131.10578 -0.0093002854
0.92665 0.9671 106.19098 -0.0010205641
0.98054 0.98499 102.84415 -0.0022937628
1.05374 0.8539 116.53849 0.0067880302
0.96873 0.97332 112.64666 0.0052069342
0.93996 0.93842 105.98236 -0.0020014563
1.0558 0.85722 131.04985 0.0102853821
0.88884 0.93942 106.43836 -0.0060724837
0.94977 1.05595 104.55429 0.0010200043
0.9545 0.9697 101.38249 -0.0005338877
0.96169 0.9614 105.25698 0.0001422269
0.95588 1.0403 91.36952 -0.0329500179
0.97728 0.964 84.46657 -0.0167385454
1.20494 0.82378 105.20776 0.0233371501
0.97728 0.99369 96.11018 -0.0135719866
0.98474 0.94906 105.10403 0.0005111337
0.97688 0.98404 101.31559 -0.0039560489
0.97753 0.95404 106.56998 0.0009366899
0.96634 0.96424 84.37035 -0.0092228657
0.79873 0.87133 113.40242 -0.0731207513
1.03082 0.81548 132.33869 -0.0316328703
1.02481 1.00157 120.98783 0.0402776063
0.85603 0.88071 93.30259 0.0664866950
0.93944 0.96577 99.91501 0.0017291460
0.95239 0.96926 103.12067 -0.0000910925
0.89215 1.04395 120.91159 0.0137062092
0.84548 1.06686 128.51893 0.0126606740
1.03559 1.24877 80.8218 -0.2869241695
0.98072 0.98011 110.58279 0.0068059977
0.97544 0.92879 131.6687 -0.0078454531
0.98014 0.92585 102.19207 0.0011106481
0.81274 0.85828 97.85742 0.0478112757
1.15563 0.94808 79.71868 -0.1702690576
0.80822 0.85029 104.1062 -0.0061386259
0.94009 0.93924 92.07607 0.0155034479
0.97845 0.94236 104.13686 0.0001908400
0.95526 0.97617 106.97851 0.0010599405
0.9237 0.91739 115.49096 -0.0236595075
1.14303 0.89075 98.32417 -0.0157755172
0.95072 0.9888 102.40492 -0.0010874481
