c_1 c_2 c_3 delta_nor
0.329263998850194 -0.3204986171092889 0.0674482010213229 -0.3198347381
-0.04495867461817213 0.03615081985608982 0.00679221915034183 0.0002877490
0.05124480316318155 -0.0287089222776489 -0.0022902712594918585 -0.0003245116
-0.109772247612087 -0.17141178094730591 0.10887154998502893 0.0285924552
0.45149221850826515 0.1291017045752883 0.24366987903895876 -0.2494964681
0.524116999667223 0.369406841531553 0.3693747848380135 -0.8136930188
0.1069748802137625 -0.048372187064954886 0.10972574221122577 -0.0014457319
0.015911495762229125 0.03355280520006907 -0.028534277942456065 -0.0004728177
-0.30249396190126226 0.3609071629806736 0.10082681485143832 0.0349069259
0.05406686977542426 0.15787916185748418 0.012912680067626634 0.0002795329
0.37131255008964303 0.42985155199924985 -0.08098398113002496 0.0398823940
-0.11269287453193283 -0.01145272731254516 0.0420405708934284 -0.0029013920
-0.32691110007602764 0.3921899284321657 0.0922982014503844 0.0607362130
-0.4501457632455761 0.08095342081650816 0.04544195567866301 0.0813623576
-0.20379442438672868 -0.04624634955442257 0.002621163153551806 -0.0070316120
-0.042694868682881505 -0.009925757665113884 -0.0307937541296482 0.0005150214
0.542624386359032 0.3981444998710063 -0.19282719548953947 -0.0610640114
0.2249640940029556 0.06791048674492225 0.1718494189504621 -0.0785885786
0.4409322464855871 -0.0835091578627632 0.08109896493873546 -0.0950140187
0.03607179196988386 0.13481429155051233 -0.15078111996736324 -0.0555392388
0.07246568217401611 0.0052522347702061815 -0.022157618406842446 0.0006348311
-0.055401755545552586 0.043277024265722205 -0.06054564242538065 -0.0014343518
0.06677517985469678 -0.0063581329114667014 0.0031813197364972297 -0.0001702287
-0.16344272495225587 -0.10187178394261243 0.25935422030803895 0.0897756446
0.0383965837285852 0.030832284394780834 0.04816853601954 -0.0017484126
-0.041569169259435435 0.015322358578574585 0.012371503848698506 -0.0000058362
-0.0024525701264296188 -0.016404398870553463 -0.020603973419686047 0.0001716179
-0.573648803154454 0.2981378913855566 -0.2682913102295388 0.0356552671
0.02983023823720434 -0.04273758227514256 -0.04649499373102623 0.0019513756
0.08991485640235675 -0.06233252467080345 -0.1135010237593645 0.0178063005
-0.19950151986155887 -0.1329183886448612 0.22252383493632985 0.0461693651
-0.19466934716468226 -0.24412631676707247 0.02807157989497755 -0.0656041017
-0.11715883638019894 0.061322330111854756 0.0012903996868651353 0.0039967759
0.13753848267241015 -0.2186678961499272 0.3233797238885106 0.4648462736
0.032001085684797266 -0.02918754631403289 -0.013745631041556747 0.0000483647
0.2757264032546396 0.09676294952826071 0.041045996445036426 0.0156026299
-0.27550399229488576 -0.01486555838693171 0.026041628905486947 -0.0060653485
0.06501043453757605 -0.030627188863244767 0.007943309246106858 -0.0007709630
-0.21852130612788082 -0.23522457927907525 0.009037585853075084 -0.0727324644
-0.5302708276218354 -0.05707859834902457 0.1100103297824472 -0.1081737780
-0.24068223630376462 -0.10588729506900409 0.02163237985313373 -0.0351532496
0.10211591748791658 0.0947631758063113 0.0061219944588835964 0.0029745959
0.05696710816109959 -0.219553810786438 -0.03200634853083409 -0.0004926892
0.32085432571078837 0.02304235155717191 -0.060221274310427717 0.0390428709
0.09527821795990735 -0.026540819516589424 0.04084772384473896 -0.0025681597
-0.16497352242666063 -0.02046722664859707 0.018254411166561672 -0.0041145249
0.03925186002005565 0.030174509893101043 0.050192712173406935 -0.0018866993
0.4234409001797121 0.12369346383524663 0.40061747451204077 -0.7797920768
0.2883048620660558 -0.11923777974255795 0.004295496933446816 -0.0430697056
-0.13753621668689742 0.11767807317954504 0.009955082016600086 0.0089815307
0.13175867587410905 0.03282867082354555 0.040519635921378604 -0.0020625281
-0.00320094619632141 -0.06988468768586649 0.12987215764318372 0.0271371814
-0.2877587665609605 -0.03525561602953102 0.048112629390217446 -0.0243195402
-0.5725855090800395 -0.1127311652413954 0.09299654934164278 -0.1666062712
-0.45038043424446567 0.21275762541328946 0.43642128207116127 -0.9077863883
0.020775200610206504 0.007606451866211554 -0.030894534165731426 -0.0000830850
-0.10332839369352763 0.05715850307019795 -0.009556715220920026 0.0032923326
0.12061333497489621 0.4084912879785916 -0.3402172057439617 -0.6759034792
