c_1 c_2 c_3 e_har
0.0951235810594086 -0.1588042305164913 -0.2155208366374328 0.5757292276
0.0982089294690028 0.23712759700895364 -0.035130895031844564 0.4499388372
-0.34946016114045064 -0.15245477560870255 0.2340378455208044 0.7842155012
-0.39428800443004325 0.2287467510794925 -0.05986247283243622 0.6413874951
0.27000598717551666 -0.06702646099051093 0.2834047082841888 0.7781410714
0.017762884095537827 -0.03887307640779597 0.26079148293057947 0.5563219075
0.3417221056065291 0.24007778296458193 -0.2795077039402775 1.2247082465
0.39846656420440896 0.019326899134286937 -0.18618711194986837 0.50056559
-0.39218624940407154 0.12733875876792577 -0.03776131061798697 0.3478138232
0.3732093294768023 0.2256751266644319 -0.22947030538268318 1.0011687534
-0.2320917419489788 0.25123251891013043 0.09682144612470112 0.6287105455
-0.16502084591332866 -0.08813751548837759 0.18619288095244133 0.3742263529
0.1451418300523693 0.1920589088339493 -0.21775765576309938 0.6886947706
-0.05728199841773009 0.049858192635694694 -0.07384869352069079 0.0670692954
0.09653725359775957 -0.05022548546709768 -0.03419484652819886 0.0414291622
-0.3412720072795335 -0.09362607809050416 0.05229069357831953 0.2499589439
0.046842002722858524 0.1019059166191828 -0.047297045571158644 0.0997522776
0.2801628724781459 0.02368882741876366 0.02733561506618721 0.1191175095
-0.089072005049084 0.2090454307566035 0.2095381762475788 0.6940664104
-0.33779361995105467 -0.015917534840332995 0.028588893735975195 0.1667433783
0.0960688874715597 -0.04152888098334519 0.09150060305159091 0.0929075053
-0.22834593451288296 -0.19507449490878437 -0.01059263031356339 0.3619875254
0.10599468309782982 -0.05710732023398047 -0.27855136492319255 0.6614232135
0.005812756063974994 -0.08885684099874262 -0.120184094612273 0.1755815141
-0.1917715168847679 0.26494071333074587 0.19661711561604195 0.8931055187
-0.28421425065025036 0.22410734108425961 -0.21814056293916287 0.8740674619
-0.01882826229229297 -0.12279889668164615 0.037829626513688305 0.1263739493
0.22881838955520975 0.050776525892010316 0.2050755746713534 0.4288375496
0.1521042252704043 0.026728391723799545 -0.14824884151359274 0.2134384586
-0.12370403390483418 0.0033599953862323943 -0.11193641486446218 0.1216096398
0.12001409376962101 0.19826075754796818 0.22433512040786902 0.7210980432
-0.05879534835860334 -0.06278364136624213 0.0718848560936804 0.0760699795
0.10834674323819124 0.292712036864744 0.2442099699758004 1.1438319008
0.013035274540520447 0.047350664906590206 -0.26378501871358273 0.5742367475
-0.3527360144030124 0.02284530264942633 -0.1695655796124338 0.4067068237
-0.1344830383008655 -0.1635065602639096 0.2045806348995799 0.5629758739
0.08148228881556709 -0.032546265697548885 -0.12580829576883998 0.1439438525
0.01568379214121156 -0.09025498607007616 -0.28858656198192084 0.728803882
0.2578954477404835 -0.029838658681817072 -0.039097795297600574 0.1112509069
0.2093574061810779 0.08534757485795631 -0.08785452383740966 0.1778563599
-0.37559503771775604 -0.16894440910284084 0.19807438779476902 0.7263210716
-0.12263192464781524 -0.025428241338346633 0.10623106495263734 0.1161003983
-0.11144585260235043 0.29747285115429783 -0.24508439014742694 1.1695232604
-0.2884360818182788 0.0316983970451215 0.1893410852965366 0.4099967487
-0.11289295763737255 0.08759139039229452 0.16969241113060665 0.3063970312
-0.28143830193231395 0.13421663891216085 0.08432386164021699 0.3034841029
0.3688710551182085 -0.07941387598095716 -0.1541195269450453 0.4267317304
0.04584989185276962 -0.1704694346629081 0.26874102159965435 0.8015417595
0.16737621689484627 0.23590483901604808 0.2092116506664893 0.8115139143
0.2955019993913463 0.2056319118146377 -0.21618259107974389 0.8160883737
0.23713518667739758 0.2750777416038226 0.055155213692843194 0.6765358562
0.10483580016776195 -0.00346190959675911 -0.14661778809145712 0.1874116217
-0.19267331479118033 0.2578071374172061 -0.06172332630729423 0.5863375583
-0.08169855902487459 0.11505609494504809 -0.2759301147542089 0.7191683615
-0.3632330985431475 -0.09357988701046835 -0.2459590826502906 0.7337190932
-0.012381504840211673 0.009545238699952632 0.26648225639652856 0.5693404558
-0.29496314936836576 -0.09756880142458586 -0.08403464951773557 0.2494500768
0.10049589835219463 0.2632649580396257 -0.17589982189412362 0.7876071167
0.09225182411737254 0.02661699996919475 0.14183527116490924 0.1782136566
-0.024840334832667003 0.1796288065455433 0.23368836857131825 0.6828397458
0.15394054587157077 0.24582537032103413 -0.2725887694231847 1.0862141743
-0.3012689694552817 0.2932632373084366 0.032903376350881544 0.7871782969
-0.04082450394107509 -0.12270239695128414 0.24593574333997698 0.6007185516
-0.14283945999084655 -0.13128047535787263 -0.16645014849860992 0.3808566981
-0.059051908854631664 0.07900843722093362 -0.10857014984968681 0.1465605557
