dis_1 dis_2 ang_1 e_dir
0.93471 1.10839 121.41892 0.6698178992
0.97986 0.92737 85.81099 0.297144531
0.9496 1.03923 111.2681 0.1888829215
0.95268 0.91973 112.34035 0.0759807068
0.90649 0.91218 112.10365 0.1616368492
1.07678 0.94765 103.75687 0.2858431009
0.98247 1.13969 100.83966 0.5849647023
0.88387 1.0343 87.17326 0.5159961302
1.06427 0.94664 101.20072 0.2353251845
0.87935 0.89055 117.54322 0.3970787651
0.96871 0.88242 98.32967 0.2248902575
0.99893 0.95439 103.98843 0.0391130802
0.95314 1.02873 120.63557 0.295882388
0.95405 1.14629 97.42336 0.6170810032
0.97943 0.78679 112.51076 1.2230913098
1.13872 0.9647 111.17286 0.640505914
1.10084 1.00931 91.97501 0.4842734147
1.07651 0.95661 93.82844 0.3222775467
1.13015 0.95359 115.14845 0.6520100199
0.88773 0.91049 118.28547 0.2992553998
0.89951 0.917 96.03664 0.2323217904
1.1027 0.87209 105.21155 0.6532797875
0.95995 0.91468 103.11622 0.0597842749
0.84514 1.02478 86.34255 0.8110808354
1.03493 0.81059 85.35316 1.2700032658
1.00808 0.86682 116.46336 0.4182072118
1.06814 0.87792 117.86466 0.5877205354
0.86987 0.90677 123.14504 0.4756074291
1.00755 1.09428 95.08618 0.4233971578
1.08851 1.04878 108.37998 0.5333016029
0.83875 0.9548 122.9594 0.656648236
1.12472 0.93135 98.26849 0.5308674982
1.18604 0.99141 90.38029 0.8940864717
0.91675 1.11942 86.8892 0.6820384755
1.02722 0.94907 96.36023 0.1385108963
1.00845 0.96024 90.99261 0.1629566341
1.08096 0.87666 98.10047 0.5404339467
0.94255 0.94956 117.73428 0.1103059002
0.81781 1.00655 90.01912 0.985821869
0.93279 0.93262 119.89497 0.1627021777
0.83694 0.98579 113.79604 0.5817934357
0.87834 0.97822 103.05864 0.2212170605
1.022 1.06345 92.22442 0.3605919673
0.95093 1.04049 97.67887 0.1644317687
0.92528 1.04044 90.55191 0.2924846682
1.08548 0.9633 120.71787 0.5315125441
0.87207 1.10205 109.51614 0.6752631969
0.88995 1.08742 86.19703 0.6762884158
1.08414 0.87638 96.83195 0.5651999787
0.97211 1.12836 102.50237 0.5219217931
1.03788 0.81036 111.92179 1.0103936689
0.99219 0.85596 89.742 0.5714851803
0.82985 0.98866 110.03997 0.6328687065
0.98579 0.79229 104.50176 1.127860863
1.14373 0.95361 109.70111 0.6499632693
0.84571 1.07468 121.85801 0.917133898
0.98396 1.13529 89.25053 0.6437234372
0.8791 1.07285 120.23871 0.6447413635
1.11183 0.92321 96.70541 0.4945125967
1.00359 0.82703 101.85137 0.6942719011
1.07325 0.91125 119.48315 0.5039790379
1.04095 1.01485 89.37188 0.3151510997
1.14016 0.99841 105.73378 0.6292908637
1.03568 0.84014 110.6532 0.6538491885
1.00225 0.81709 105.72329 0.7981063949
0.97433 0.93723 115.36628 0.0930957843
0.97221 1.1319 104.03956 0.5455309223
0.95719 1.0559 102.97893 0.1982575869
0.86145 0.98185 95.23339 0.409376932
1.02096 0.88933 111.68091 0.2756880701
0.98748 1.04803 109.49316 0.2235030809
0.85139 1.0678 102.29381 0.6502217801
0.91694 1.14778 116.70109 0.8232607987
1.09112 0.8931 120.20622 0.664717778
0.8889 0.94311 116.28961 0.21987638
0.95801 1.14252 114.26855 0.7047545433
0.95018 1.16017 88.43666 0.7806362823
0.9421 0.99928 92.89047 0.1309705451
0.94441 1.17222 108.55431 0.8025581449
0.89305 0.94345 123.35652 0.3128899151
1.06021 1.03456 108.52638 0.3693458294
0.99101 0.80962 90.79791 1.0565929506
1.04464 1.05972 113.46432 0.4618912797
0.9766 1.14269 107.54737 0.6292231672
1.03519 1.12641 90.57406 0.6755474715
0.94173 1.01158 111.68464 0.1151322313
0.93969 0.86126 119.86155 0.4252346311
1.00453 0.97877 113.1541 0.1226815542
0.95506 0.9694 104.95593 0.0036421461
1.08917 0.96675 97.41912 0.3430686456
0.93576 0.89863 117.14473 0.1969451572
1.1094 0.964 91.59689 0.4847012267
1.07156 0.94121 112.17183 0.3296225447
0.88821 0.99919 117.84124 0.299051641
1.11962 0.98592 97.57403 0.4928319344
0.94009 0.92995 87.77752 0.259764601
0.98361 1.07193 104.64023 0.2778572312
1.08866 1.01856 114.77123 0.5255151628
0.96562 0.95012 93.57752 0.0854437439
0.95593 0.88271 88.74645 0.4015316336
0.85664 1.01488 119.40412 0.5521392101
0.9494 0.85715 100.28107 0.3760714445
0.97874 0.8042 110.00187 0.9379314161
0.95727 0.94537 97.78656 0.0375974142
1.07976 0.92939 120.78091 0.5215489727
1.03506 0.93105 96.72504 0.180525094
0.81861 1.01219 93.16153 0.9178846901
0.99782 1.1072 89.85334 0.5210770048
1.08036 0.91201 104.31787 0.3663269383
1.00706 0.83501 117.14465 0.6848532431
0.99286 1.11533 97.76521 0.4800929894
0.99698 0.89185 92.18694 0.2900957208
0.9202 0.92293 94.73565 0.1676736108
0.87126 0.90981 109.93825 0.3172401123
1.00511 1.01179 103.46981 0.1133535754
0.94263 0.87274 104.23245 0.2476749333
0.94181 0.9632 101.75735 0.0139718304
0.93644 1.05793 113.47795 0.2942550981
0.98099 0.94144 98.57987 0.042696213
0.78977 0.99955 97.76508 1.2459339105
0.85846 0.97906 107.0603 0.3496156452
0.92482 1.10579 120.35691 0.6485233733
0.85265 0.99332 104.44563 0.4159617799
1.12404 0.94121 95.55112 0.527823121
1.0541 0.94739 86.52973 0.3770846904
0.99538 1.03309 117.66577 0.2976268419
0.96839 0.93174 117.08308 0.1171975755
0.9256 1.01622 96.65822 0.1435434653
1.10681 0.93474 116.73162 0.5697361277
1.07237 1.03086 114.11801 0.4782241876
0.91286 1.06333 118.34894 0.4353157584
0.9407 1.09803 121.75013 0.6181771023
1.09207 0.86438 109.1809 0.6753351547
1.0399 1.08937 106.29579 0.4887140327
0.94019 1.15967 104.15002 0.7032354894
0.80466 0.99455 102.58199 0.9604944007
0.98212 0.97369 104.84982 0.0196975522
1.15977 0.97644 96.02684 0.6950164889
0.95288 0.90642 99.82709 0.1048436607
1.06395 1.02601 105.63715 0.3360985334
0.89467 0.90411 118.83666 0.2961289068
0.80945 1.03773 106.71135 0.9964263366
0.93577 0.89994 105.17541 0.1180334059
0.84106 0.95266 104.6269 0.4876712515
1.03564 0.94725 119.32018 0.2951974964
1.10994 0.97473 87.95772 0.5445806871
0.83871 1.02136 123.01425 0.7881286925
1.05139 0.95662 117.02056 0.3113400389
1.0365 0.96735 113.84942 0.2125713555
0.99901 1.13311 103.41021 0.5801367765
1.05836 0.85994 110.55673 0.5703735054
0.83135 1.0603 100.16943 0.8227815572
0.92419 0.9 109.79361 0.1432137613
1.02613 0.90008 117.06621 0.3137092173
1.07667 0.86981 106.38387 0.5531775557
0.91776 1.02722 104.28185 0.1565886527
0.95594 1.08687 112.8669 0.3998126985
1.00864 0.86197 104.70841 0.3739564858
1.01713 0.87547 96.92805 0.3474791351
