c_1 c_2 c_3 delta_int
0.0951235810594086 -0.1588042305164913 -0.2155208366374328 0.0175050048
0.0982089294690028 0.23712759700895364 -0.035130895031844564 -0.0250492886
-0.34946016114045064 -0.15245477560870255 0.2340378455208044 -0.0431179264
-0.39428800443004325 0.2287467510794925 -0.05986247283243622 0.0614332083
0.27000598717551666 -0.06702646099051093 0.2834047082841888 0.0085050934
0.017762884095537827 -0.03887307640779597 0.26079148293057947 0.0057957293
0.3417221056065291 0.24007778296458193 -0.2795077039402775 -0.0975685566
0.39846656420440896 0.019326899134286937 -0.18618711194986837 -0.0391210157
-0.39218624940407154 0.12733875876792577 -0.03776131061798697 0.0389505128
0.3732093294768023 0.2256751266644319 -0.22947030538268318 -0.1057540989
-0.2320917419489788 0.25123251891013043 0.09682144612470112 0.0385644954
-0.16502084591332866 -0.08813751548837759 0.18619288095244133 -0.0115042247
0.1451418300523693 0.1920589088339493 -0.21775765576309938 -0.0277732283
-0.05728199841773009 0.049858192635694694 -0.07384869352069079 0.0028958296
0.09653725359775957 -0.05022548546709768 -0.03419484652819886 0.0043547517
-0.3412720072795335 -0.09362607809050416 0.05229069357831953 -0.0298150577
0.046842002722858524 0.1019059166191828 -0.047297045571158644 -0.0052294696
0.2801628724781459 0.02368882741876366 0.02733561506618721 -0.0182812306
-0.089072005049084 0.2090454307566035 0.2095381762475788 0.0160157003
-0.33779361995105467 -0.015917534840332995 0.028588893735975195 -0.0044254071
0.0960688874715597 -0.04152888098334519 0.09150060305159091 0.0037963298
-0.22834593451288296 -0.19507449490878437 -0.01059263031356339 -0.0510596448
0.10599468309782982 -0.05710732023398047 -0.27855136492319255 0.0088526892
0.005812756063974994 -0.08885684099874262 -0.120184094612273 0.0012706754
-0.1917715168847679 0.26494071333074587 0.19661711561604195 0.0360043398
-0.28421425065025036 0.22410734108425961 -0.21814056293916287 0.0489116090
-0.01882826229229297 -0.12279889668164615 0.037829626513688305 -0.0033938705
0.22881838955520975 0.050776525892010316 0.2050755746713534 -0.0186122692
0.1521042252704043 0.026728391723799545 -0.14824884151359274 -0.0059258335
-0.12370403390483418 0.0033599953862323943 -0.11193641486446218 0.0012693928
0.12001409376962101 0.19826075754796818 0.22433512040786902 -0.0227637844
-0.05879534835860334 -0.06278364136624213 0.0718848560936804 -0.0037477110
0.10834674323819124 0.292712036864744 0.2442099699758004 -0.0299630902
0.013035274540520447 0.047350664906590206 -0.26378501871358273 0.0048688777
-0.3527360144030124 0.02284530264942633 -0.1695655796124338 0.0119734687
-0.1344830383008655 -0.1635065602639096 0.2045806348995799 -0.0210971377
0.08148228881556709 -0.032546265697548885 -0.12580829576883998 0.0030379643
0.01568379214121156 -0.09025498607007616 -0.28858656198192084 0.0072985718
0.2578954477404835 -0.029838658681817072 -0.039097795297600574 -0.0003965678
0.2093574061810779 0.08534757485795631 -0.08785452383740966 -0.0236108794
-0.37559503771775604 -0.16894440910284084 0.19807438779476902 -0.0550825179
-0.12263192464781524 -0.025428241338346633 0.10623106495263734 -0.0023783230
-0.11144585260235043 0.29747285115429783 -0.24508439014742694 0.0235801370
-0.2884360818182788 0.0316983970451215 0.1893410852965366 0.0126311179
-0.11289295763737255 0.08759139039229452 0.16969241113060665 0.0110262284
-0.28143830193231395 0.13421663891216085 0.08432386164021699 0.0292961610
0.3688710551182085 -0.07941387598095716 -0.1541195269450453 0.0101234749
0.04584989185276962 -0.1704694346629081 0.26874102159965435 0.0119685822
0.16737621689484627 0.23590483901604808 0.2092116506664893 -0.0398189712
0.2955019993913463 0.2056319118146377 -0.21618259107974389 -0.0717954969
0.23713518667739758 0.2750777416038226 0.055155213692843194 -0.0690243776
0.10483580016776195 -0.00346190959675911 -0.14661778809145712 0.0004246478
-0.19267331479118033 0.2578071374172061 -0.06172332630729423 0.0316387000
-0.08169855902487459 0.11505609494504809 -0.2759301147542089 0.0149657355
-0.3632330985431475 -0.09357988701046835 -0.2459590826502906 -0.0205161790
-0.012381504840211673 0.009545238699952632 0.26648225639652856 0.0063557458
-0.29496314936836576 -0.09756880142458586 -0.08403464951773557 -0.0276519009
0.10049589835219463 0.2632649580396257 -0.17589982189412362 -0.0264953587
0.09225182411737254 0.02661699996919475 0.14183527116490924 -0.0021962767
-0.024840334832667003 0.1796288065455433 0.23368836857131825 0.0063148012
0.15394054587157077 0.24582537032103413 -0.2725887694231847 -0.0360679118
-0.3012689694552817 0.2932632373084366 0.032903376350881544 0.0540460048
-0.04082450394107509 -0.12270239695128414 0.24593574333997698 -0.0008752931
-0.14283945999084655 -0.13128047535787263 -0.16645014849860992 -0.0181575876
-0.059051908854631664 0.07900843722093362 -0.10857014984968681 0.0048749071
-0.3964554743323106 0.1911903200176026 -0.14652974658059864 0.0569566286
-0.043273589799736105 0.04766073147300854 -0.039898412926808784 0.0018576560
0.23365072829274733 0.10953180291627163 0.20086765449143518 -0.0326388126
0.1847381410353138 0.23209869846078135 0.06398013313522999 -0.0455424346
0.3716306970090707 0.07925972923447405 -0.12983014728971523 -0.0553248784
0.12305311913456529 0.13493652914513574 0.2927867776114301 -0.0140508972
-0.02655335827515816 0.27300037837494345 -0.09849061178540827 0.0006700791
-0.32155388388822326 0.16387958501245872 0.13674261679239264 0.0409514374
0.2120507216853755 0.1512532559761601 0.25160054061836 -0.0360535991
-0.22506852014512424 0.2999855707495251 0.2645569408173772 0.0483079462
-0.13509699798789132 0.27845090789255944 0.25754822507157915 0.0287968423
0.24989807034852377 0.2643003562889304 0.026622474941683447 -0.0710134707
0.045440470525022376 0.20545736340020038 0.280589307350791 -0.0055092601
0.25227608743563157 0.09116647580226345 -0.060658421235353616 -0.0322565600
0.3964808360988561 -0.12106459675707418 -0.17983060431517656 0.0283209784
-0.34083908657134326 -0.16830250492585352 0.1669796282052574 -0.0534230603
0.18482690153922296 0.07382744034203152 -0.03465834699919225 -0.0180002399
0.39864069209952846 0.27516271669764913 -0.0018100847858423738 -0.1305408161
0.33089221586865253 -0.1688701816172633 0.2648225086875938 0.0478048507
0.22960782186439646 0.26734502567727214 0.2417219737891647 -0.0633432961
0.2535029020007276 -0.006963246581182803 0.2075084471071843 -0.0071155160
