dis_1 dis_2 ang_1 delta_har
0.86294 1.29981 81.19371 -1.4823751501
1.03686 0.75826 67.8138 0.4466545688
1.03479 0.74656 109.59391 0.8258575478
1.12158 1.11607 89.3678 -0.2705966576
1.16584 0.95699 112.6654 -0.3982802518
0.85717 0.89015 117.84708 0.0535993131
1.0349 1.29431 127.95659 -1.3700396680
0.78686 1.09201 88.04719 0.2403951270
0.62101 1.06003 143.66096 3.7797586683
1.06111 1.0692 78.98297 0.0366554166
1.30701 0.95947 105.09817 -1.6387308608
1.3182 0.9361 111.39768 -1.7717430194
1.13316 1.12161 92.24402 -0.3628258553
1.20104 1.08123 78.04889 -0.3639055479
1.07188 1.27458 75.87288 -0.8641177464
1.03614 1.34871 97.4831 -2.1634243015
1.17651 0.79096 70.126 -0.3037422480
0.96911 0.95411 74.11972 0.0061002931
1.13079 1.17307 111.36455 -0.7021528760
0.69899 0.96476 140.76373 1.1621461136
0.98319 1.03783 79.26431 0.0345633384
1.07008 0.91961 107.46342 -0.0662079289
1.05697 0.98326 113.60574 -0.0450791482
1.25859 1.02048 75.21658 -0.7698928467
1.2336 1.07679 100.14644 -0.9351757138
0.94849 0.92229 122.83371 -0.0323291401
1.10808 0.71669 95.73254 1.1333927659
0.82196 0.91177 144.70211 -0.4112901947
1.01006 1.02129 114.09005 -0.0156190938
1.08393 0.9235 132.94419 -0.1103105529
1.05399 1.16963 127.23766 -0.3716366159
1.16118 0.7737 106.50372 0.1591069855
1.32622 0.93818 89.70441 -1.8073891746
1.21377 0.948 106.53825 -0.7159066164
0.91589 1.10533 124.37188 -0.1327370715
0.91121 1.27123 101.1068 -1.2210460729
0.92112 1.26272 80.57379 -1.0486437598
1.01661 0.81485 101.94705 0.2192521495
0.89953 0.79732 96.16881 0.3538774525
0.87341 0.8157 132.38664 -0.0043514401
0.88568 0.81737 116.85385 0.1980877987
0.89935 0.78332 105.65966 0.4590461678
1.02348 1.20706 87.87287 -0.5548071563
1.16139 1.10063 132.49629 -0.3442291954
1.09614 1.00239 126.17539 -0.0868957029
0.80051 1.16928 108.6125 -0.0967577031
1.13696 1.1419 90.57068 -0.4231290401
0.98552 0.86917 70.63423 -0.0102630470
1.10236 0.97545 127.6128 -0.1051225782
0.80282 1.0586 123.72164 0.2144952591
1.11059 1.12949 76.07741 -0.0695207189
1.23815 0.91804 134.92131 -0.8174727288
1.22094 1.08648 115.60701 -0.8703349944
0.93209 1.29658 88.44428 -1.4407775560
1.24219 0.94066 127.4563 -0.8665776854
1.03512 1.33682 125.95987 -1.9345315177
1.28875 0.83121 126.42877 -1.2088242664
1.33326 0.96464 76.04805 -1.7091296676
0.84203 1.17572 84.26977 -0.3810613471
0.93505 1.16779 131.39566 -0.3576724219
0.91219 1.08277 125.86245 -0.0849017551
0.91656 0.8025 73.94387 0.2452633644
1.08407 0.72177 138.33776 0.8364953479
0.93903 1.29116 108.86807 -1.4473995247
0.79963 1.05561 89.35234 0.2345915964
1.09516 1.01295 106.6005 -0.1379481613
0.8115 1.20552 106.50325 -0.3969834889
1.32591 0.99609 75.96661 -1.5362607470
1.05904 1.16564 84.61915 -0.2805994876
1.13655 0.84088 101.78326 -0.1487500337
0.63599 1.06479 116.04589 3.7052059964
1.21614 1.1139 75.83337 -0.4302375961
0.93322 1.26216 70.98632 -0.9746222478
1.11083 0.80272 82.70577 0.0517994984
0.93363 1.2836 118.8627 -1.3246183549
1.01422 0.65425 129.30289 2.8359585236
0.91222 1.11595 108.27272 -0.1797809548
1.16456 0.82983 72.36572 -0.3521597294
0.79692 1.10966 79.91266 0.0712731280
0.94221 1.28054 125.10099 -1.2514197886
0.93798 1.09593 109.46732 -0.1259182883
0.98928 0.92799 121.69479 -0.0143378132
1.16422 1.10945 127.94687 -0.4377503222
1.02938 1.30345 111.8615 -1.6213718797
1.10262 0.92129 117.29326 -0.1310120371
1.17628 1.22387 91.88084 -1.0768053207
0.89348 0.85061 126.58627 -0.0195778348
1.02566 0.80234 124.42862 0.2321435315
