dis_1 dis_2 ang_1 delta_int
1.03686 0.75826 67.8138 0.1494296492
1.03479 0.74656 109.59391 -0.0067414929
1.12158 1.11607 89.3678 -0.1492105454
1.16584 0.95699 112.6654 0.0413410765
0.85717 0.89015 117.84708 -0.0672450144
1.0349 1.29431 127.95659 0.1521690283
0.78686 1.09201 88.04719 0.0120848040
0.62101 1.06003 143.66096 0.0352262432
1.06111 1.0692 78.98297 -0.1933220740
1.30701 0.95947 105.09817 0.0060460100
1.3182 0.9361 111.39768 0.0577153173
1.13316 1.12161 92.24402 -0.1255349735
1.20104 1.08123 78.04889 -0.3296895269
1.07188 1.27458 75.87288 -0.4226717953
1.03614 1.34871 97.4831 -0.0930457676
1.17651 0.79096 70.126 -0.1435012464
0.96911 0.95411 74.11972 -0.0071175532
1.13079 1.17307 111.36455 0.0310677220
0.69899 0.96476 140.76373 -0.2016914007
0.98319 1.03783 79.26431 -0.0970529493
1.07008 0.91961 107.46342 0.0090934905
1.05697 0.98326 113.60574 0.0264063934
1.25859 1.02048 75.21658 -0.3811170491
1.2336 1.07679 100.14644 -0.0587998790
0.94849 0.92229 122.83371 -0.0218495769
1.10808 0.71669 95.73254 0.0263681042
0.82196 0.91177 144.70211 -0.1803490463
1.01006 1.02129 114.09005 0.0250272368
1.08393 0.9235 132.94419 0.0630537017
1.05399 1.16963 127.23766 0.1225774830
1.16118 0.7737 106.50372 0.0264957927
1.32622 0.93818 89.70441 -0.1463991366
1.21377 0.948 106.53825 0.0152296307
0.91589 1.10533 124.37188 0.0548295843
0.91121 1.27123 101.1068 -0.0141921880
0.92112 1.26272 80.57379 -0.2260691095
1.01661 0.81485 101.94705 0.0093872582
0.89953 0.79732 96.16881 0.0564762119
0.87341 0.8157 132.38664 -0.1729773299
0.88568 0.81737 116.85385 -0.0811681394
0.89935 0.78332 105.65966 -0.0142368212
1.02348 1.20706 87.87287 -0.1611567248
1.16139 1.10063 132.49629 0.1586618183
1.09614 1.00239 126.17539 0.0814397160
0.80051 1.16928 108.6125 0.0302736787
1.13696 1.1419 90.57068 -0.1529407204
0.98552 0.86917 70.63423 0.0871462523
1.10236 0.97545 127.6128 0.0803112434
0.80282 1.0586 123.72164 -0.0073995014
1.11059 1.12949 76.07741 -0.3260453160
1.23815 0.91804 134.92131 0.1589885708
1.22094 1.08648 115.60701 0.0635666080
0.93209 1.29658 88.44428 -0.1490450541
1.24219 0.94066 127.4563 0.1296153416
1.03512 1.33682 125.95987 0.1448402957
1.28875 0.83121 126.42877 0.1341709391
1.33326 0.96464 76.04805 -0.3863323376
0.84203 1.17572 84.26977 -0.0811250269
0.93505 1.16779 131.39566 0.1123005705
0.91219 1.08277 125.86245 0.0452974599
0.91656 0.8025 73.94387 0.2631495016
1.08407 0.72177 138.33776 -0.0370869781
0.93903 1.29116 108.86807 0.0371005837
0.79963 1.05561 89.35234 0.0254903252
1.09516 1.01295 106.6005 0.0062424471
0.8115 1.20552 106.50325 0.0298256142
1.32591 0.99609 75.96661 -0.4051021214
1.05904 1.16564 84.61915 -0.1965854249
1.13655 0.84088 101.78326 0.0057086036
0.63599 1.06479 116.04589 0.0705698056
1.21614 1.1139 75.83337 -0.4082747468
0.93322 1.26216 70.98632 -0.3876200561
1.11083 0.80272 82.70577 -0.0156607179
0.93363 1.2836 118.8627 0.0975987763
1.01422 0.65425 129.30289 -0.0710159977
0.91222 1.11595 108.27272 0.0166294966
1.16456 0.82983 72.36572 -0.1447777155
0.79692 1.10966 79.91266 -0.0160717520
0.94221 1.28054 125.10099 0.1303788856
0.93798 1.09593 109.46732 0.0176171899
0.98928 0.92799 121.69479 0.0009433274
1.16422 1.10945 127.94687 0.1343104229
1.02938 1.30345 111.8615 0.0461031918
1.10262 0.92129 117.29326 0.0385925355
1.17628 1.22387 91.88084 -0.1815121491
0.89348 0.85061 126.58627 -0.1047877978
1.02566 0.80234 124.42862 -0.0304474812
1.01447 0.99335 91.76612 -0.0363473527
1.16375 0.75014 130.24891 0.0533268140
0.69081 1.12807 82.26729 0.0377333978
0.96753 0.90158 103.1164 0.0019861532
