c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.6 0.19999999999999996 0.84675 0.70119 151.53349 4390.9257257 451.2571287 -1606.0894532 -437.37935319999997 4082.824688935241 -1406.802048730799 -2531.495071495228 -406.44450570518023 3492.0022213511716 -1252.7445069798976 -817.8739023505603 -345.0574981586512 308.101036764759 898.9235043488284 590.8224675840694 1858.059177430799 1704.0016356798974 -154.0575417509017 925.4056182952279 788.2155508494398 -137.19006744578815 30.934847494819728 92.32185504134883 61.3870075465291
-0.8 -0.6 0.30000000000000004 0.88364 0.6655 152.011 5674.4539074 1334.5540719 -750.926425 -392.12738590000004 5076.118159867126 -743.4406304304133 -1412.575481796744 -388.2501901848108 4116.327309512172 -937.856184493674 67.64885457435348 -326.50679212006276 598.3357475328735 1558.1265978878278 959.7908503549543 2077.9947023304135 2272.410256393674 194.41555406326052 661.649056796744 818.5752795743534 156.92622277760938 3.877195715189241 65.62059377993728 61.74339806474804
-0.8 -0.6 0.40000000000000013 0.92068 0.63018 152.6952 7552.2632136 2652.0395482 489.08857220000004 -270.76207800000003 6419.861781258715 83.15853048557642 -40.30380862272551 -365.81105500816665 4941.097265047289 -555.918024847171 1168.719869407448 -304.2836968750431 1132.4014323412844 2611.1659485527116 1478.7645162114272 2568.8810177144233 3207.957573047171 639.0765553327478 529.3923808227255 679.6312972074479 150.23891638472242 95.04897700816662 33.521618875043124 -61.52735813312349
-0.8 -0.6 0.5 0.95787 0.59528 153.60253 10108.541364800001 4487.9009643 2156.7914533 -3.6455602 8063.897742145102 1001.5904603334718 1394.320874235684 -341.4477375378163 5918.97370112307 -151.14485799446396 2348.2935964427106 -281.0909616469407 2044.643622654899 4189.56766367693 2144.9240410220314 3486.3105039665274 4639.0458222944635 1152.735318327936 762.470579064316 191.50214314271085 -570.9684359216051 337.8021773378163 277.4454014469407 -60.35677589087561
-0.8 -0.6 0.6000000000000001 0.99517 0.56089 154.7553 13455.2248302 6954.0751354 4305.9578785 511.52079890000005 9939.07161777673 1947.4623752785221 2658.2762726055676 -317.34885800350685 6992.550598339517 235.34895694168688 3437.8043972381793 -259.31838813948053 3516.1532124232713 6462.674231860484 2946.5210194372125 5006.6127601214785 6718.726178458313 1712.113418336835 1647.6816058944323 868.1534812618211 -779.5281246326113 828.8696569035069 770.8391870394806 -58.03046986402626
-0.8 -0.6 0.7 1.03258 0.52711 156.18263 17732.933298599997 10191.181608300001 6997.8059667 1412.4271998 11955.99878012425 2866.63666804746 3502.3425597037676 -295.2683194228355 8097.94288891654 570.4586075821463 4255.095729989711 -240.7224897990213 5776.93451847575 9634.990409683458 3858.0558912077076 7324.544940252541 9620.723000717855 2296.178060465314 3495.4634069962317 2742.7102367102884 -752.7531702859433 1707.6955192228356 1653.1496895990213 -54.54582962381437
-0.8 -0.6 0.8 1.07009 0.49406 157.92154 23109.5350048 14367.089010200001 10293.218128999999 2874.6164665 14007.869183411045 3712.6923951555877 3710.839880992426 -276.3569976861068 9169.896808950063 830.9288060108398 4639.027484667081 -226.30412253599195 9101.665821388955 13939.638195849937 4837.972374460982 10654.396615044412 13536.16020418916 2881.763589144748 6582.378248007574 5654.190644332918 -928.1876036746562 3150.973464186107 3100.9205890359917 -50.05287515011514
-0.8 -0.5 -0.8 0.52555 1.10638 154.94799 18354.2776294 10446.5229595 7377.880295399999 1607.3133010000001 12395.387260662763 3370.7917020034415 4106.513671653824 -190.328892609362 8454.90872212254 862.06664290336 4054.430540107971 -169.70755911034573 5958.890368737237 9899.36890727746 3940.478538540223 7075.731257496557 9584.45631659664 2508.725059100082 3271.366623746176 3323.449755292029 52.083131545852666 1797.642193609362 1777.020860110346 -20.621333499016146
-0.8 -0.5 -0.7000000000000001 0.55939 1.06878 153.44293 13940.358258 7233.2985335 5046.900167299999 680.6838054 10334.888457984722 2446.482435027528 3599.947721159855 -208.58036397409546 7324.803837840111 583.0008734579852 3572.436209302104 -181.75445089970572 3605.4698000152785 6615.55442015989 3010.084620144611 4786.816098472473 6650.297660042015 1863.4815615695425 1446.9524461401445 1474.4639579978952 27.511511857750747 889.2641693740954 862.4382562997057 -26.825913074389746
-0.8 -0.5 -0.6000000000000001 0.59382 1.03127 152.20443 10446.127245399999 4779.6695948999995 3139.7023459 147.1135018 8375.233929686403 1481.0470583509414 2525.817097711183 -230.39741272751027 6187.333946926669 219.20425564556902 2749.5554544284796 -198.25106612187898 2070.8933157135975 4258.793298473331 2187.899982759733 3298.6225365490586 4560.465339254431 1261.842802705372 613.8852481888168 390.14689147152023 -223.7383567172966 377.5109145275103 345.364567921879 -32.14634660563132
