c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.6 0.30000000000000004 0.88364 0.6655 152.011 5674.4539074 1334.5540719 -750.926425 -392.12738590000004 5636.831448226363 1529.2619047778715 -166.3227503271294 -263.4539191509692 5585.4238944148665 1729.4256518051861 606.6164096783743 -237.5539015518795 37.62245917363671 89.03001298513402 51.40755381149731 194.7078328778715 394.8715799051861 200.16374702731457 584.6036746728705 1357.5428346783744 772.9391600055039 128.6734667490308 154.5734843481205 25.900017599089693
-0.8 -0.6 0.40000000000000013 0.92068 0.63018 152.6952 7552.2632136 2652.0395482 489.08857220000004 -270.76207800000003 7478.181286811486 2887.4369755712737 1120.7458159192024 -49.328080949737796 7213.970597661437 2885.6747841692727 1888.928886817243 -101.22088494269813 74.081926788514 338.2926159385633 264.2106891500493 235.39742737127378 233.63523596927305 -1.7621914020007239 631.6572437192023 1399.840314617243 768.1830708980407 221.43399705026224 169.54119305730185 -51.89280399296038
-0.8 -0.6 0.5 0.95787 0.59528 153.60253 10108.541364800001 4487.9009643 2156.7914533 -3.6455602 9913.591520878254 4743.762104521615 2842.9767623715684 324.0068333926899 9185.251918387365 4333.928963959554 3464.2620356210173 82.13465195498112 194.94984392174786 923.2894464126354 728.3396024908875 255.8611402216151 153.97200034044633 -101.88913988116877 686.1853090715683 1307.4705823210174 621.2852732494491 327.65239359268986 85.78021215498111 -241.87218143770875
-0.8 -0.6 0.6000000000000001 0.99517 0.56089 154.7553 13455.2248302 6954.0751354 4305.9578785 511.52079890000005 12940.825326876762 7138.0538806218565 5027.1967923791735 903.0619358453682 11406.036476933547 6031.074245219558 5272.68685482453 310.9688778421308 514.3995033232383 2049.1883532664533 1534.7888499432152 183.97874522185643 923.0008901804423 739.0221449585858 721.2389138791738 966.7289763245303 245.49006244535656 391.5411369453682 200.55192105786924 -190.98921588749894
-0.8 -0.6 0.7 1.03258 0.52711 156.18263 17732.933298599997 10191.181608300001 6997.8059667 1412.4271998 16515.406138238708 10071.591190140187 7669.675040285241 1719.3418124155376 13768.283061299087 7909.458894193415 7228.4167283016695 578.7130752619871 1217.5271603612928 3964.650237300912 2747.1230769396193 119.59041815981308 2281.7227141065855 2162.1322959467725 671.869073585242 230.61076160167016 -441.2583119835718 306.9146126155375 833.7141245380128 526.7995119224753
-0.8 -0.6 0.8 1.07009 0.49406 157.92154 23109.5350048 14367.089010200001 10293.218128999999 2874.6164665 20543.607811102094 13485.182187274375 10708.964599380966 2780.7349098147247 16157.36905456583 9873.98515212626 9213.53090862113 874.1240973757559 2565.927193697906 6952.165950234171 4386.238756536264 881.9068229256253 4493.1038580737395 3611.197035148114 415.74647038096657 1079.6872203788705 663.9407499979039 93.88155668527531 2000.492369124244 1906.6108124389689
-0.8 -0.5 -0.8 0.52555 1.10638 154.94799 18354.2776294 10446.5229595 7377.880295399999 1607.3133010000001 17134.198783582935 10349.020707420892 7938.528727929798 1916.287256165412 14294.267814287343 8076.51017873393 7338.009903921626 701.3362264128496 1220.0788458170634 4060.0098151126554 2839.930969295592 97.50225207910823 2370.0127807660697 2272.5105286869616 560.6484325297982 39.87039147837379 -520.7780410514245 308.97395516541184 905.9770745871505 597.0031194217386
-0.8 -0.5 -0.7000000000000001 0.55939 1.06878 153.44293 13940.358258 7233.2985335 5046.900167299999 680.6838054 13449.421588371999 7473.438945105805 5532.000470745226 1067.411904792675 11869.432656209492 6274.328442263609 5574.013339352034 428.5685886536221 490.93666962800063 2070.925601790508 1579.9889321625076 240.1404116058048 958.9700912363917 718.829679630587 485.10030344522636 527.1131720520339 42.0128686068075 386.72809939267495 252.11521674637783 -134.61288264629712
-0.8 -0.5 -0.6000000000000001 0.59382 1.03127 152.20443 10446.127245399999 4779.6695948999995 3139.7023459 147.1135018 10280.356648339111 5097.979672681835 3533.3468006731873 461.67061666476116 9546.064993699008 4614.6378999919925 3928.3422625942253 193.22981369656134 165.77059706088804 900.0622517009908 734.2916546401028 318.3100777818355 165.03169490800752 -153.27838287382798 393.6444547731872 788.6399166942252 394.99546192103804 314.55711486476116 46.11631189656135 -268.4408029681998
-0.8 -0.5 -0.5 0.62877 0.99385 151.20181 7722.1824793999995 2936.2343289 1614.0353788 -131.460439 7672.224726871436 3222.4349174041163 1931.2905401264343 68.41492158246827 7432.9187607812255 3161.948363425676 2468.0440546275686 3.916460242239239 49.95775252856305 289.2637186187743 239.30596609021126 286.2005885041166 225.71403452567606 -60.486553978440526 317.2551613264343 854.0086758275687 536.7535145011344 199.8753605824683 135.37689924223926 -64.49846134022903
-0.8 -0.5 -0.4 0.66413 0.95654 150.411 5646.9477378 1581.4166759 427.8454525 -261.1432126 5625.635123857388 1807.5838674517158 689.4841689709299 -159.0744753121843 5620.455210072613 1954.8739137652774 1233.2807367242658 -136.80582617576337 21.312613942611414 26.492527727386417 5.179913784775003 226.16719155171583 373.4572378652774 147.2900463135616 261.6387164709299 805.4352842242658 543.7965677533359 102.06873728781571 124.33738642423664 22.268649136420933
-0.8 -0.5 -0.30000000000000004 0.69986 0.91935 149.81361 4125.364819099999 620.1582122 -455.6762204 -312.6780272 4109.133766194074 795.1342035844306 -232.51723266623543 -272.41949389382887 4173.013670473585 1011.9671944050571 248.3058862705363 -232.35372552989855 16.231052905925303 47.64885137358554 31.41779846766024 174.97599138443053 391.808982205057 216.8329908206265 223.15898773376458 703.9821066705363 480.8231189367717 40.25853330617113 80.32430167010143 40.0657683639303
-0.8 -0.5 -0.19999999999999996 0.7359 0.8823 149.39606 3086.7297098000004 -18.2453009 -1065.8159267 -331.75252820000003 3075.459084185882 124.40414224726624 -868.2510735928706 -318.2263224156122 3127.4308956498703 339.2158900039689 -469.81510462003513 -290.4935220076011 11.270625614117957 40.701185849870036 29.43056023575208 142.64944314726625 357.4611909039689 214.81174775670263 197.56485310712947 596.0008220799649 398.43596897283544 13.526205784387846 41.259006192398914 27.732800408011066
-0.8 -0.5 -0.09999999999999998 0.77221 0.84541 149.14906 2482.4654081999997 -382.37049 -1423.5173962000001 -341.1628234 2477.7791264893103 -255.57854751240538 -1240.8835317872129 -331.64308588154466 2498.5907150595735 -63.343521566289944 -907.3011515581634 -320.4291751781131 4.686281710689411 16.125306859573474 11.439025148884063 126.79194248759462 319.02696843371 192.2350259461154 182.63386441278718 516.2162446418367 333.5823802290496 9.519737518455306 20.73364822188689 11.213910703431585
-0.8 -0.5 0.0 0.80874 0.80868 149.0672 2284.2527800000003 -500.5367059 -1541.2635497 -345.77107670000004 2282.6681711106457 -378.26014464489646 -1363.5242516310832 -333.78765026781554 2289.2117173277384 -197.1814304244152 -1054.2000569185846 -329.4669426669436 1.5846088893542998 4.958937327738333 3.3743284383840333 122.27656125510356 303.35527547558485 181.0787142204813 177.73929806891675 487.06349278141545 309.3241947124987 11.983426432184475 16.30413403305636 4.320707600871886
